"Data Source","Indicateurs du développement dans le monde",

"Last Updated Date","2025-04-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Bénin","BEN","Accession à l’enseignement secondaire (%)","SE.SEC.PROG.ZS","","","","","","","","","","","","46.9771","60.85221","54.38473","56.30172","45.29767","52.61691","56.88355","58.55776","66.74226","81.15874","","69.68835","55.33372","57.8077","48.52877","59.74196","","","34.52405","","","","","","","","","","","98.96941","","78.07313","","","","","","","","78.34911","","88.69957","85.46746","87.56778","83.75624","","","","","","","","","",
"Burkina Faso","BFA","Accession à l’enseignement secondaire (%)","SE.SEC.PROG.ZS","","","","","","","","","","","","22.4144","25.17993","28.73452","28.02999","26.27079","30.00909","","30.5562","31.66153","33.76022","36.32865","35.46239","39.37804","","","","55.60152","58.66363","59.55944","56.42631","53.32948","41.73519","42.23095","","","","","64.84174","60.5365","61.95547","","61.23402","","66.83147","65.40999","66.92342","73.62768","73.18979","74.85896","","72.07983","68.19726","68.74054","76.55103","77.55105","76.05944","80.10901","","","","","","","",
"Bangladesh","BGD","Accession à l’enseignement secondaire (%)","SE.SEC.PROG.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94.51421","","","","","","","","","","","","","","",
"Bulgarie","BGR","Accession à l’enseignement secondaire (%)","SE.SEC.PROG.ZS","","","","","","","","","","","","98.93899","99.20191","99.22075","99.36977","99.40962","98.81441","99.31614","97.86037","98.86146","99.04887","98.68209","98.73583","98.50474","98.56432","98.94395","99.79759","98.71651","99.28481","93.54264","98.30983","98.27283","96.68307","95.30895","98.59691","99.41222","97.66742","","98.5555","","99.33849","98.28265","98.22457","98.29525","98.33621","98.32853","97.72001","97.31275","97.91639","98.80542","98.66867","99.05417","99.29677","99.60124","99.2541","98.70297","99.33268","","","","","","","","",
"Bahreïn","BHR","Accession à l’enseignement secondaire (%)","SE.SEC.PROG.ZS","","","","","","","","","","","","","","","","","","","","","","87.59621","90.36956","91.34763","","96.99691","","96.4603","","","97.58226","99.0812","99.34457","","","","","","","99.84211","99.27656","99.19103","99.36167","99.21005","99.02273","","","","","","","99.79041","99.92808","99.82811","99.87832","99.99489","99.35795","99.4653","","","","","","","",
"Bahamas","BHS","Accession à l’enseignement secondaire (%)","SE.SEC.PROG.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.92369","99.30055","99.78784","","99.02354","","","","","","","","","","","","","","","",
"Bosnie-Herzégovine","BIH","Accession à l’enseignement secondaire (%)","SE.SEC.PROG.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83.6691","","","","","99.49037","98.88108","98.64303","97.91047","","","","","","","",
"Bélarus","BLR","Accession à l’enseignement secondaire (%)","SE.SEC.PROG.ZS","","","","","","","","","","","","99.9498","99.48106","99.75724","99.74464","100","99.82437","100","99.95626","99.86301","99.92948","99.92842","99.92933","100","99.93065","100","","","","","","100","100","99.51642","98.10594","98.53667","99.712","","98.71108","99.85135","99.88538","99.55014","99.89862","98.76936","99.57495","99.66062","99.93828","98.70138","99.07343","98.55389","98.44346","98.49313","98.10813","98.31024","98.38697","98.07925","98.01376","98.15973","","","","","","","",
"Belize","BLZ","Accession à l’enseignement secondaire (%)","SE.SEC.PROG.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92.70537","","","94.22572","94.2733","","","","94.44637","94.41454","","98.61537","95.36692","98.06039","93.52279","94.92682","96.38225","96.38989","96.26709","97.4934","98.88456","95.26285","97.895","96.35501","96.78445","95.23051","97.35556","","","","","","","",
"Bermudes","BMU","Accession à l’enseignement secondaire (%)","SE.SEC.PROG.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93.51778","96.8347","91.25311","98.17471","95.26938","","","","","86.31841","92.83849","","","50.7764","","","","","","","","","","",
"Bolivie","BOL","Accession à l’enseignement secondaire (%)","SE.SEC.PROG.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95.03648","93.9977","95.01185","96.5149","96.29121","96.97341","97.2006","96.59641","97.30542","","","","","","","",
"Brésil","BRA","Accession à l’enseignement secondaire (%)","SE.SEC.PROG.ZS","","","","","","","","","","","55.06254","69.46805","88.50478","88.41413","88.84941","89.01631","92.72167","92.7657","92.12849","93.76834","89.00044","94.4668","","89.84488","91.96418","","","","","","","100","99.08433","95.70886","","","","","","","97.87674","97.90624","96.90012","95.21936","","","","","","","","","","","","","","","","","","","","","",
"Barbade","BRB","Accession à l’enseignement secondaire (%)","SE.SEC.PROG.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.81775","99.2037","97.98284","99.45931","98.11552","99.44786","98.65593","98.32467","99.08315","99.00647","","","","","","","","","","","","","","","","",
"Brunéi Darussalam","BRN","Accession à l’enseignement secondaire (%)","SE.SEC.PROG.ZS","","","","","","","","","","","","","84.03177","","92.36984","77.68541","69.92464","86.56856","94.10618","92.42954","95.75422","92.51496","99.56201","85.79985","","","","","","","","90.5911","95.65064","96.57904","","","","","","","","","90.17261","97.88996","96.9837","99.38296","99.18352","99.66443","99.49258","99.62595","99.94546","99.60396","99.74107","99.72625","99.38369","","99.73679","99.80164","","","","","","","",
"Bhoutan","BTN","Accession à l’enseignement secondaire (%)","SE.SEC.PROG.ZS","","","","","","","","","","","","","","","","","84.29119","86.52038","62.00814","","","","","","","","","","","","","","","89.51542","","","","94.94058","93.53124","93.34989","93.50852","","","94.38107","98.5018","96.56757","97.85004","98.25157","98.17039","98.61367","99.60323","98.88238","96.28662","99.0069","","","99.58045","","","","","","","","",
"Botswana","BWA","Accession à l’enseignement secondaire (%)","SE.SEC.PROG.ZS","","","","","","","","","","","","","","","","","","","","","","","","","50.98611","47.61678","49.48398","57.25405","61.73506","73.22991","89.70419","82.39838","88.37498","86.45414","92.86951","","","","96.26281","96.43883","95.92073","96.82726","97.76683","97.47313","99.02993","98.51813","97.66237","98.56675","","","","","97.46923","","","","","","","","","","","","",
"République centrafricaine","CAF","Accession à l’enseignement secondaire (%)","SE.SEC.PROG.ZS","","","","","","","","","","","","37.34806","39.27524","38.07292","","","","35.35127","","","53.10879","66.36756","70.94657","","","56.76339","43.37912","52.24738","53.5494","49.8845","56.12946","","","","","","","","","","","","","","76.43723","","","","62.5408","","","75.4323","","","","","","","","","","","","","",
"Canada","CAN","Accession à l’enseignement secondaire (%)","SE.SEC.PROG.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe centrale et les pays baltes","CEB","Accession à l’enseignement secondaire (%)","SE.SEC.PROG.ZS","","","","","","","","","","","98.17725","98.1748","98.18566","98.18886","98.4341","98.56645","98.49397","98.54892","98.50548","98.58775","98.68819","98.67134","98.63052","98.43518","98.41508","98.44437","98.48775","98.35648","98.36529","97.88913","98.52038","98.66734","99.23235","99.09463","98.16068","99.34981","99.58568","98.57515","99.7256","99.70984","99.77281","99.68484","99.75568","99.78479","99.74176","99.62259","99.28222","99.26782","99.35197","99.26359","99.29546","99.31053","98.97729","99.1857","99.35638","99.49182","99.55204","99.55609","","","","","","","",
"Suisse","CHE","Accession à l’enseignement secondaire (%)","SE.SEC.PROG.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.99077","99.94266","99.89165","99.82053","99.85238","99.84616","99.73215","99.76846","99.61106","99.68269","99.90516","99.88774","99.91113","99.83743","99.89548","99.87645","99.84501","99.91574","","","","","","","","",
"Îles Anglo-Normandes","CHI","Accession à l’enseignement secondaire (%)","SE.SEC.PROG.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chili","CHL","Accession à l’enseignement secondaire (%)","SE.SEC.PROG.ZS","","","","","","","","","","","91.81019","91.30646","90.32445","88.91428","88.09404","86.48078","91.47108","","","","","","94.81749","","","","","","","","","","","","","","98.56956","","","","","","","","","","","","","","96.528","97.394","97.35059","97.31431","97.39676","97.57968","97.90418","","","","","","","","",
"Chine","CHN","Accession à l’enseignement secondaire (%)","SE.SEC.PROG.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.73277","69.39356","71.80501","76.83837","75.36194","79.78688","88.35925","88.44244","","","","","","","","","","","","99.35749","","","","","","","","","","","","","","","","",
"Côte d'Ivoire","CIV","Accession à l’enseignement secondaire (%)","SE.SEC.PROG.ZS","","","","","","","","","","","","","50.86616","47.57972","44.3614","45.62493","46.95483","49.24572","53.17817","56.43169","55.85441","","48.08108","45.54529","49.79809","48.18444","46.05369","46.91011","52.07291","53.25971","50.99581","62.5353","56.61473","66.67883","65.04456","66.75645","65.6524","61.16767","62.36357","61.5112","67.47135","","","","","","70.72622","","68.76342","","","73.47509","","87.98359","92.67935","91.97522","91.94192","","","","","","","","",
"Cameroun","CMR","Accession à l’enseignement secondaire (%)","SE.SEC.PROG.ZS","","","","","","","","","","","","","25.67365","29.29628","31.24768","32.25113","34.05561","29.94965","35.95258","34.62399","35.6218","35.46952","40.55025","39.69214","41.32813","40.77407","44.36359","44.90472","","","45.09321","","","","","","","","","30.90724","","","","","","","44.92243","59.50987","51.28681","","60.80533","65.11651","","","67.89956","66.49127","","","","","","","","","",
"Congo, République démocratique du","COD","Accession à l’enseignement secondaire (%)","SE.SEC.PROG.ZS","","","","","","","","","","","","49.33295","","","","","","","","","","","","","","","","","","","","31.20372","36.12575","31.19149","","","","","","","","","","","","","","89.04459","","","","74.84224","72.30146","","","","","","","","","","","","",
"Congo, République du","COG","Accession à l’enseignement secondaire (%)","SE.SEC.PROG.ZS","","","","","","","","","","","","48.80567","66.52556","82.05096","81.16702","84.47203","95.84855","99.0932","97.10738","","99.34511","","95.22115","98.23717","","","83.55263","","81.63298","","","","71.74586","69.90687","","66.32972","","","","","","73.51923","68.66047","87.68047","70.10854","","","70.05559","71.22435","75.79751","77.27496","76.43519","","","","","","","","","","","","","",
"Colombie","COL","Accession à l’enseignement secondaire (%)","SE.SEC.PROG.ZS","","","","","","","","","","","","","","","","","","","","","","","94.48955","54.5596","56.57764","64.91477","61.59086","62.77554","63.40623","","","","","","","","","","96.30826","","92.33528","100","","","99.61797","99.54083","99.79537","99.58443","99.65519","98.26013","98.59564","99.40911","96.66362","98.4025","98.29638","","","","","","","","","","",
"Comores","COM","Accession à l’enseignement secondaire (%)","SE.SEC.PROG.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","54.05964","","","","","","42.15569","","","","","","","","","","80.22362","91.68891","","","","","","","","","","92.61772","","","","","","","","","","","",
"Cabo Verde","CPV","Accession à l’enseignement secondaire (%)","SE.SEC.PROG.ZS","","","","","","","","","","","","","","","","","","","","70.45274","51.42857","48.40909","49.97345","51.87897","43.23178","63.23927","","57.34503","","55.85714","","","","","","","","","","","","87.75612","87.73354","88.83123","93.74447","98.91858","92.80867","94.27636","93.4601","96.44122","97.80495","97.23412","96.05454","96.32944","98.20288","97.65182","99.44483","94.41203","","","","","","","",
"Costa Rica","CRI","Accession à l’enseignement secondaire (%)","SE.SEC.PROG.ZS","","","","","","","","","","","49.92744","54.5233","","","","","","","","59.03124","56.67581","53.39149","52.87259","54.05727","53.47374","58.16494","59.11782","62.29254","63.17593","64.73711","64.19464","66.76744","67.09229","67.89564","68.73243","68.68493","","","","84.75502","82.92189","87.88256","","","96.80526","98.15391","96.71145","96.93127","94.56556","92.02745","92.9103","94.02844","84.37573","84.83775","83.64136","84.64545","85.28271","91.70589","","","","","","","",
"Petits états des Caraïbes","CSS","Accession à l’enseignement secondaire (%)","SE.SEC.PROG.ZS","","","","","","","","","","","","","","","","","","","","","","","85.78278","87.0448","86.89175","89.87647","89.23927","88.93952","88.53563","87.96016","83.74245","83.64452","83.27722","83.86356","84.52689","85.28653","85.56366","86.40322","87.24316","87.56569","89.51844","86.85013","89.19348","89.96465","90.27621","91.03467","92.21379","94.53474","92.92741","94.72295","93.72743","92.87353","91.52026","93.17855","90.96223","91.27227","91.72793","93.27782","","","","","","","",
"Cuba","CUB","Accession à l’enseignement secondaire (%)","SE.SEC.PROG.ZS","","","","","","","","","","","","65.41002","67.67922","68.2199","73.97375","76.20108","81.35779","88.5776","86.52142","92.04022","92.36386","93.72145","95.46411","96.96789","96.97441","96.05666","95.28214","98.18404","97.28368","98.20953","97.61598","96.46729","96.68051","95.38422","95.48533","97.15158","","","","97.09979","97.40409","97.72621","98.17643","98.67255","98.66557","98.63525","98.48928","98.48444","98.60332","98.92307","98.62642","99.03107","98.82599","99.08836","98.37158","98.81487","98.60992","98.45096","","","","","","","",
"Curacao","CUW","Accession à l’enseignement secondaire (%)","SE.SEC.PROG.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Îles Caïmans","CYM","Accession à l’enseignement secondaire (%)","SE.SEC.PROG.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.62759","92.59259","90.80675","","","98.68193","99.7753","91.77982","97.43501","","","","92.71917","96.55144","","","","","","","","","","","","",
"Chypre","CYP","Accession à l’enseignement secondaire (%)","SE.SEC.PROG.ZS","","","","","","","","","","","","73.83474","79.18187","78.76776","73.69146","85.10443","86.11745","85.84884","88.39373","88.96664","88.6217","89.57677","89.57417","97.99884","97.54778","99.05629","98.28934","99.06667","","99.63016","","","99.90047","99.22145","99.66171","99.94949","99.24882","","","99.81879","99.52678","99.27638","99.44216","99.80922","99.68212","99.78579","99.14882","99.91309","99.99367","99.90313","99.43144","98.88369","99.53709","99.3834","99.36473","98.40366","99.74383","","","","","","","","",
"République tchèque","CZE","Accession à l’enseignement secondaire (%)","SE.SEC.PROG.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","97.78856","","","","99.94681","99.97188","99.78924","99.84217","99.99771","99.85791","99.77961","99.27405","99.2473","99.72651","99.35527","99.33742","99.20375","99.67728","99.71331","99.97633","99.95724","99.94707","","","","","","","","",
"Allemagne","DEU","Accession à l’enseignement secondaire (%)","SE.SEC.PROG.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.97198","99.99013","99.92005","99.99333","","","99.87319","99.90326","99.78431","99.7615","99.64366","99.82351","99.58504","99.32155","99.54231","","","","","99.3411","99.68935","99.63376","99.90526","99.50305","","","","","","","","",
"Djibouti","DJI","Accession à l’enseignement secondaire (%)","SE.SEC.PROG.ZS","","","","","","","","","","","","","46.7167","52.58512","37.75895","32.8907","","","","","","","","","","48.55292","55.00218","49.4142","38.38732","","","54.24131","45.6928","","","58.05145","69.97919","","","63.8263","79.94529","","","","91.34731","87.78102","","","","","","86.7967","","99.43844","80.23868","76.16387","83.9042","86.24763","","","","","","","",
"Dominique","DMA","Accession à l’enseignement secondaire (%)","SE.SEC.PROG.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.03102","","","","","","","","","","","","97.97378","90.68627","","97.82323","","99.03398","92.9678","","97.08084","91.59973","98.04958","99.86204","99.94051","94.88255","96.44359","96.16173","","","","","","","","","","",
"Danemark","DNK","Accession à l’enseignement secondaire (%)","SE.SEC.PROG.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95.97047","99.93853","","99.95485","","","99.69074","99.98142","96.75822","96.27965","99.7919","99.92433","99.87073","97.28535","99.91531","99.97115","99.99816","99.95","99.94342","","","","","","","","",
"République dominicaine","DOM","Accession à l’enseignement secondaire (%)","SE.SEC.PROG.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.76604","","","","","89.59337","91.23421","","","","92.08404","","","98.82658","","95.30032","91.0564","94.58919","93.0053","94.91685","97.37323","95.27411","92.52574","92.58356","93.1639","","","","","","","",
"Algérie","DZA","Accession à l’enseignement secondaire (%)","SE.SEC.PROG.ZS","","","","","","","","","","","","","37.48034","33.52757","47.31275","53.5105","57.92818","59.69312","62.12013","62.98953","","71.0505","","84.69751","84.08986","","","","90.78709","90.9993","89.99538","90.91016","91.13759","90.13181","90.01102","89.63865","91.35356","","90.83591","97.1128","93.25744","94.47193","94.46948","93.79602","93.74328","92.31375","93.23903","96.5836","","98.91325","98.57422","97.7312","98.5156","99.39158","99.00214","98.91984","","99.20801","","","","","","","",
"Asie de l’Est et Pacifique (hors revenu élevé)","EAP","Accession à l’enseignement secondaire (%)","SE.SEC.PROG.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66.54685","66.97279","71.26899","73.251","77.07372","76.4374","79.67999","85.655","86.0102","85.09722","84.06688","85.48712","86.88197","88.49749","89.93891","91.24824","91.13815","93.89944","96.28267","96.2909","96.4274","96.04992","95.98247","96.69167","95.15273","93.874","96.04338","96.52171","96.55461","96.60876","","","","","","","",
"de dividende précoce démographique","EAR","Accession à l’enseignement secondaire (%)","SE.SEC.PROG.ZS","","","","","","","","","","","","","","","","","","","","","","","","80.2933","79.95465","79.99389","79.76612","81.11832","77.39211","78.11557","79.08523","80.16967","81.33305","82.46219","83.56191","84.52858","85.50281","86.47032","87.50721","88.39906","87.92575","89.97327","89.7205","89.24502","88.70299","90.0801","91.48029","90.93068","91.19527","91.26529","91.22336","92.08077","90.7652","91.02647","90.7181","91.58179","91.07844","92.09947","","","","","","","",
"Asie de l’Est et Pacifique","EAS","Accession à l’enseignement secondaire (%)","SE.SEC.PROG.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69.29827","69.63228","73.59564","75.35753","78.89155","78.23585","81.14241","86.61887","86.9069","85.98425","84.95178","86.22784","87.49695","89.00316","90.38236","91.63286","91.56776","94.14359","96.3545","96.40183","96.52214","96.18212","96.11417","96.76877","95.34668","94.15813","96.16007","96.5986","96.6193","96.65002","","","","","","","",
"Europe et Asie centrale (hors revenu élevé)","ECA","Accession à l’enseignement secondaire (%)","SE.SEC.PROG.ZS","","","","","","","","","","","","","","","","","","","","","","","","","89.90532","89.87323","89.03695","89.12784","87.92429","88.43842","88.81403","89.71295","91.0167","92.09074","92.24","92.49052","94.32606","95.0469","95.68417","96.26852","96.55731","95.22386","95.40443","97.16392","98.12679","99.20574","99.24303","99.18136","99.03711","99.11782","99.23867","99.35684","97.04944","98.36089","98.64004","99.57214","99.51249","99.6464","","","","","","","",
"Europe et Asie centrale","ECS","Accession à l’enseignement secondaire (%)","SE.SEC.PROG.ZS","","","","","","","","","","","","","","","","","","","","92.90362","93.04283","92.60581","92.65254","93.02224","93.39696","93.6817","93.09293","92.96967","92.25069","92.63091","92.83063","93.34628","93.91777","94.37853","94.08213","94.47966","95.62455","95.89508","96.42606","96.80526","97.21677","96.52758","96.6228","97.52781","98.02064","98.5094","98.4586","98.43353","98.3612","98.32565","98.38581","98.42549","97.32627","98.01712","98.15837","98.60205","98.61243","98.71565","","","","","","","",
